127.0.0.1 - - [04/Aug/2022:14:39:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Aug/2022:14:39:38 +0900] "GET /MustHaveJSP/11JSTL/core/Choose.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [04/Aug/2022:14:39:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Aug/2022:14:39:46 +0900] "GET /MustHaveJSP/11JSTL/core/Choose.jsp?kor=100&eng=90&math=80 HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [04/Aug/2022:14:43:53 +0900] "GET /MustHaveJSP/11JSTL/core/Choose.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [04/Aug/2022:14:43:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Aug/2022:14:44:02 +0900] "GET /MustHaveJSP/11JSTL/core/Choose.jsp?kor=90&eng=84&math=92 HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:17:36 +0900] "GET /MustHaveJSP/11JSTL/core/ForEachNormal.jsp HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:17:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:21:55 +0900] "GET /MustHaveJSP/11JSTL/core/ForEachNormal.jsp HTTP/1.1" 500 2940
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:22:05 +0900] "GET /MustHaveJSP/11JSTL/core/ForEachNormal.jsp HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:28:28 +0900] "GET /MustHaveJSP/11JSTL/core/ForEachNormal.jsp HTTP/1.1" 200 1692
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:28:50 +0900] "GET /MustHaveJSP/11JSTL/core/ForEachNormal.jsp HTTP/1.1" 200 1692
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:28:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:30:10 +0900] "GET /MustHaveJSP/11JSTL/core/ForEachNormal.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:36:43 +0900] "GET /MustHaveJSP/11JSTL/core/ForEachExtend1.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:39:02 +0900] "GET /MustHaveJSP/11JSTL/core/ForEachExtend1.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:39:39 +0900] "GET /MustHaveJSP/11JSTL/core/ForEachExtend1.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:49:35 +0900] "GET /MustHaveJSP/11JSTL/core/ForEachExtend2.jsp HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:06:23 +0900] "GET /MustHaveJSP/11JSTL/core/ForEachExtend2.jsp HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:20:05 +0900] "GET /MustHaveJSP/11JSTL/core/ForTokens.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:43:16 +0900] "GET /MustHaveJSP/11JSTL/core/Import.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:43:17 +0900] "GET /MustHaveJSP/11JSTL/inc/NaverPage.jsp HTTP/1.1" 200 211840
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:43:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
